2026-05-02 01:42:13 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 2, 'learning_rate': 0.002}
2026-05-02 01:42:17 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=1.054870e-12 final_test_mse=1.829449e+01
2026-05-02 01:42:18 | INFO | search_model_configurations | Saved search progress after 59 completed trials
2026-05-02 01:42:18 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 3, 'learning_rate': 0.0003}
2026-05-02 01:42:21 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=2.484527e-03 final_test_mse=2.024332e+01
2026-05-02 01:42:22 | INFO | search_model_configurations | Saved search progress after 60 completed trials
2026-05-02 01:42:22 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 0, 'learning_rate': 0.05}
2026-05-02 01:42:26 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=1.078982e+01 final_test_mse=1.185337e+01
2026-05-02 01:42:26 | INFO | search_model_configurations | Saved search progress after 61 completed trials
2026-05-02 01:42:26 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 0, 'learning_rate': 0.02}
2026-05-02 01:42:30 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=1.078982e+01 final_test_mse=1.185338e+01
2026-05-02 01:42:32 | INFO | search_model_configurations | Saved search progress after 62 completed trials
2026-05-02 01:42:32 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 1, 'learning_rate': 0.005}
2026-05-02 01:42:35 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=1.281831e-12 final_test_mse=1.823556e+01
2026-05-02 01:42:36 | INFO | search_model_configurations | Saved search progress after 63 completed trials
2026-05-02 01:42:36 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 1, 'learning_rate': 0.003}
2026-05-02 01:42:40 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=1.750187e-06 final_test_mse=1.839685e+01
2026-05-02 01:42:43 | INFO | search_model_configurations | Saved search progress after 64 completed trials
2026-05-02 01:42:43 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 4, 'learning_rate': 0.003}
2026-05-02 01:42:46 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=2.727246e-13 final_test_mse=1.887975e+01
2026-05-02 01:42:47 | INFO | search_model_configurations | Saved search progress after 65 completed trials
2026-05-02 01:42:47 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 256, 'num_hidden_layers': 4, 'learning_rate': 0.002}
2026-05-02 01:42:50 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=3.002586e-13 final_test_mse=1.982310e+01
2026-05-02 01:42:51 | INFO | search_model_configurations | Saved search progress after 66 completed trials
2026-05-02 01:42:51 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 1, 'learning_rate': 0.2}
2026-05-02 01:42:54 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=7.385264e-13 final_test_mse=2.075805e+01
2026-05-02 01:42:57 | INFO | search_model_configurations | Saved search progress after 67 completed trials
2026-05-02 01:42:57 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 1, 'learning_rate': 0.0005}
2026-05-02 01:43:00 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=8.251969e-01 final_test_mse=1.337837e+01
2026-05-02 01:43:01 | INFO | search_model_configurations | Saved search progress after 68 completed trials
2026-05-02 01:43:01 | INFO | search_model_configurations | Search trial model=mlp lag=48 config={'model_type': 'mlp', 'hidden': 512, 'num_hidden_layers': 2, 'learning_rate': 0.01}
2026-05-02 01:43:05 | INFO | search_model_configurations | Search result model=mlp lag=48 final_train_mse=2.668463e-13 final_test_mse=1.602224e+01
